Gestor;Canal de Origem;Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor;Análise da Recusa
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 31 a 40 anos;2024;12;02/12/2024;11/12/2024;Banco Master (antigo Banco Máxima);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Dados Pessoais e Privacidade;Dificuldade de cancelamento / eliminação de dados / revogação do consentimento;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 61 a 70 anos;2024;12;02/12/2024;12/12/2024;Natura;Perfumaria, Cosméticos e Higiene Pessoal;Demais Produtos;Perfumaria, cosméticos e higiene pessoal;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;N ;TO;Palmas;M;entre 21 a 30 anos;2024;12;02/12/2024;12/12/2024;Bradescard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Negativação indevida referente à pagamento já efetuado;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Bernardo do Campo;M;entre 31 a 40 anos;2024;12;02/12/2024;;NotreDame Intermédica;Operadoras de Planos de Saúde e Administradoras de Benefícios;Saúde;Plano de Saúde (convênio, autogestão, seguro saúde );Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Telefone;S;N;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;Dom Pedro de Alcântara;M;entre 41 a 50 anos;2024;12;02/12/2024;12/12/2024;Santander Financiamentos (Aymoré);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Diadema;M;entre 41 a 50 anos;2024;12;02/12/2024;10/12/2024;Casasbahia.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Fogão, microondas, forno elétrico, depurador de ar e coifa;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Adjunta de Proteção e Defesa dos Direitos do Consumidor - PROCON-MT;Plataforma Web;CO;MT;Cuiabá;M;entre 41 a 50 anos;2024;12;02/12/2024;10/12/2024;Azul Linhas Aéreas;Transporte Aéreo;Transportes;Aéreo;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;Nova Santa Rita;M;entre 31 a 40 anos;2024;12;02/12/2024;17/12/2024;Banco BV (antigo Banco Votorantim);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Dados Pessoais e Privacidade;Dificuldade de cancelamento / eliminação de dados / revogação do consentimento;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Instituto Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;ES;Vila Velha;F;entre 31 a 40 anos;2024;12;02/12/2024;12/12/2024;Natura;Perfumaria, Cosméticos e Higiene Pessoal;Demais Produtos;Perfumaria, cosméticos e higiene pessoal;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Ganhei de presente;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;F;mais de 70 anos;2024;12;02/12/2024;12/12/2024;Air Europa;Transporte Aéreo;Transportes;Aéreo;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;N ;PA;Garrafão do Norte;F;entre 61 a 70 anos;2024;12;02/12/2024;12/12/2024;Banco Bradesco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Jundiaí;M;entre 51 a 60 anos;2024;12;02/12/2024;12/12/2024;Banco Digio;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Telefone;S;S;Finalizada não avaliada;Não Avaliada;;
Instituto Municipal de Proteção e Defesa do Consumidor;Plataforma Web;SE;RJ;Rio de Janeiro;M;entre 31 a 40 anos;2024;12;02/12/2024;11/12/2024;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Contrato / Oferta;Venda casada;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Itacaré;F;entre 31 a 40 anos;2024;12;02/12/2024;;Amazon.com.br;Comércio Eletrônico;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Catálogo;S;N;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;N ;TO;Palmas;M;entre 41 a 50 anos;2024;12;02/12/2024;11/12/2024;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Cobrança / Contestação;Cobrança após cancelamento do serviço;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Mogi das Cruzes;M;entre 31 a 40 anos;2024;12;02/12/2024;12/12/2024;Banco Santander;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Seguros de Veículos;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Piracicaba;F;entre 41 a 50 anos;2024;12;02/12/2024;12/12/2024;Bradescard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Vício de Qualidade;Dificuldade para alterar/ ativar serviços;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Feira de Santana;F;entre 41 a 50 anos;2024;12;02/12/2024;11/12/2024;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Contrato / Oferta;Publicidade abusiva / ofensiva / discriminatória;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Programa Estadual de Proteção e Defesa do Consumidor - DECON/CE;Plataforma Web;NE;CE;Fortaleza;M;entre 41 a 50 anos;2024;12;02/12/2024;;Dafiti;Comércio Eletrônico;Demais Produtos;Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;N;Finalizada avaliada;Não Resolvida;2;
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Rio Negro;F;entre 21 a 30 anos;2024;12;02/12/2024;16/12/2024;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Belo Horizonte;M;entre 41 a 50 anos;2024;12;02/12/2024;;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;N;Finalizada avaliada;Não Resolvida;1;
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;Segredo;M;mais de 70 anos;2024;12;02/12/2024;10/12/2024;Banco Bradesco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;N ;AM;Manaus;M;entre 31 a 40 anos;2024;12;02/12/2024;12/12/2024;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Atendimento / SAC;Dificuldade de contato / demora no atendimento;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;Goiana;F;mais de 70 anos;2024;12;02/12/2024;11/12/2024;Banco Agibank (Agiplan);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Matão;F;entre 31 a 40 anos;2024;12;02/12/2024;11/12/2024;Dafiti;Comércio Eletrônico;Demais Produtos;Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Barueri;F;entre 31 a 40 anos;2024;12;02/12/2024;11/12/2024;Mercado Pago;Empresas de Pagamento Eletrônico;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Programa Estadual de Proteção e Defesa do Consumidor do Ministério Público da Paraíba;Plataforma Web;NE;PB;João Pessoa;F;entre 41 a 50 anos;2024;12;02/12/2024;10/12/2024;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Contrato / Oferta;Dificuldade para rescindir o contrato / cancelar o serviço;Telefone;N;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;N ;PA;Garrafão do Norte;F;entre 61 a 70 anos;2024;12;02/12/2024;18/12/2024;Banco C6 Consignado (Banco Ficsa);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Instituto Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;ES;Vila Velha;M;entre 41 a 50 anos;2024;12;02/12/2024;10/12/2024;Banestes Seguros;Seguros, Capitalização e Previdência;Serviços Financeiros;Seguros de Veículos;Contrato / Oferta;Alteração da apólice sem solicitação / aviso prévio;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Curitiba;M;entre 31 a 40 anos;2024;12;02/12/2024;12/12/2024;Purificador de Água Brastemp;Fabricantes - Eletroportáteis e Artigos de Uso Doméstico e Pessoal;Demais Serviços ;Serviços por Assinatura (livros, vinhos etc);Contrato / Oferta;Dificuldade para alterar ou cancelar o contrato /serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;Seberi;F;entre 31 a 40 anos;2024;12;02/12/2024;11/12/2024;Banrisul;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;Santa Maria;F;entre 21 a 30 anos;2024;12;02/12/2024;10/12/2024;Lojas Renner;Vestuário, Calçados e Acessórios;Demais Produtos;Perfumaria, cosméticos e higiene pessoal;Contrato / Oferta;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento);Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Alagoinhas;F;entre 41 a 50 anos;2024;12;02/12/2024;12/12/2024;PicPay;Empresas de Pagamento Eletrônico;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;N ;TO;São Sebastião do Tocantins;F;mais de 70 anos;2024;12;02/12/2024;10/12/2024;Banco Santander;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;;
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Macaé;F;entre 21 a 30 anos;2024;12;02/12/2024;10/12/2024;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;NE;AL;Maceió;F;entre 21 a 30 anos;2024;12;02/12/2024;11/12/2024;Claro Residencial;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Cobrança / Contestação;Cobrança após cancelamento do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Pontal do Paraná;F;entre 31 a 40 anos;2024;12;02/12/2024;11/12/2024;Serasa Experian ;Bancos de Dados e Cadastros de Consumidores;Serviços Financeiros;Consulta / Monitoramento de CPF;Cobrança / Contestação;Negativação indevida - desconhece motivo e/ou fornecedor;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;N ;AM;Manaus;F;entre 31 a 40 anos;2024;12;02/12/2024;12/12/2024;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Loja física;N;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;N ;TO;São Sebastião do Tocantins;F;mais de 70 anos;2024;12;02/12/2024;16/12/2024;Banco C6 Consignado (Banco Ficsa);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Montes Claros;M;entre 31 a 40 anos;2024;12;02/12/2024;10/12/2024;PicPay;Empresas de Pagamento Eletrônico;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Atendimento / SAC;SAC - Dificuldade para cancelar o serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Programa Estadual de Proteção e Defesa do Consumidor do Ministério Público da Paraíba;Plataforma Web;NE;PB;João Pessoa;M;entre 31 a 40 anos;2024;12;02/12/2024;10/12/2024;Casasbahia.com;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho celular;Informação;Informações incompletas / inadequadas sobre o produto (na oferta ou no manual);Internet;N;S;Finalizada não avaliada;Não Avaliada;;
Instituto Municipal de Proteção e Defesa do Consumidor;Plataforma Web;SE;RJ;Rio de Janeiro;F;entre 51 a 60 anos;2024;12;02/12/2024;12/12/2024;Banco Safra;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Loja física;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;CO;DF;Brasília;M;entre 31 a 40 anos;2024;12;02/12/2024;11/12/2024;Vivara;Vestuário, Calçados e Acessórios;Demais Produtos;Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Ivaiporã;M;entre 21 a 30 anos;2024;12;02/12/2024;12/12/2024;Mercado Pago;Empresas de Pagamento Eletrônico;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Dados Pessoais e Privacidade;Dificuldade de cancelamento / eliminação de dados / revogação do consentimento;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;Vacaria;F;entre 61 a 70 anos;2024;12;02/12/2024;11/12/2024;Banco Agibank (Agiplan);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Atendimento / SAC;SAC - Dificuldade de contato / acesso;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Guarulhos;F;entre 41 a 50 anos;2024;12;02/12/2024;12/12/2024;Unimed Nacional (Central Nacional Unimed);Operadoras de Planos de Saúde e Administradoras de Benefícios;Saúde;Plano de Saúde (convênio, autogestão, seguro saúde );Vício de Qualidade;Descredenciamento de prestadores (médicos, hospitais, clínicas, laboratórios etc);Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Belo Horizonte;M;entre 21 a 30 anos;2024;12;02/12/2024;12/12/2024;Banco Mercantil do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Atendimento Bancário;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;NE;MA;Açailândia;F;entre 61 a 70 anos;2024;12;02/12/2024;11/12/2024;Crefisa;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Atendimento / SAC;SAC - Dificuldade para cancelar o serviço;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;Cruz Alta;F;entre 51 a 60 anos;2024;12;02/12/2024;12/12/2024;Decolar.com;Viagens, Turismo e Hospedagem;Transportes;Aéreo;Cobrança / Contestação;Cobrança indevida por excesso de bagagem;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Instituto Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;ES;Colatina;M;entre 31 a 40 anos;2024;12;02/12/2024;10/12/2024;Banestes;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Seguro de Vida;Contrato / Oferta;Dificuldade para alterar ou cancelar o contrato /serviço;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 41 a 50 anos;2024;12;02/12/2024;11/12/2024;Banco Bradesco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;CO;MS;Ponta Porã;F;entre 21 a 30 anos;2024;12;02/12/2024;12/12/2024;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;
Superintendência de Proteção e Defesa do Consumidor;Plataforma Web;CO;GO;Goiânia;M;entre 31 a 40 anos;2024;12;02/12/2024;12/12/2024;Gol Linhas Aéreas;Transporte Aéreo;Transportes;Aéreo;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Internet;N;S;Finalizada não avaliada;Não Avaliada;;
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Curitiba;F;entre 41 a 50 anos;2024;12;02/12/2024;;Magazine Luiza - Loja Online;Comércio Eletrônico;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;N;Finalizada não avaliada;Não Avaliada;;
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;Recife;M;entre 41 a 50 anos;2024;12;02/12/2024;12/12/2024;Gol Linhas Aéreas;Transporte Aéreo;Transportes;Aéreo;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Instituto Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;ES;Vitória;M;entre 31 a 40 anos;2024;12;02/12/2024;11/12/2024;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho de telefone fixo / interfone;Dados Pessoais e Privacidade;Dados Sensíveis - Coleta, uso ou compartilhamento indevido / não autorizado de dado sobre origem racial, étnica, convicção religiosa, filosófica, política, saúde ou vida sexual, genético ou biométrico;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Manhuaçu;F;entre 31 a 40 anos;2024;12;02/12/2024;12/12/2024;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;N ;PA;Belém;F;entre 41 a 50 anos;2024;12;02/12/2024;;Unimed Belém;Operadoras de Planos de Saúde e Administradoras de Benefícios;Saúde;Plano de Saúde (convênio, autogestão, seguro saúde );Vício de Qualidade;Negativa de cobertura total ou parcial / Demora injustificada;Internet;S;N;Finalizada não avaliada;Não Avaliada;;
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Guarapuava;M;entre 31 a 40 anos;2024;12;02/12/2024;10/12/2024;Azul Linhas Aéreas;Transporte Aéreo;Transportes;Aéreo;Atendimento / SAC;Dificuldade de contato / acesso a outros canais (exceto SAC);Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;F;entre 41 a 50 anos;2024;12;02/12/2024;11/12/2024;Banco Master (antigo Banco Máxima);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Maringá;M;entre 21 a 30 anos;2024;12;02/12/2024;12/12/2024;BrasilCard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Renegociação / parcelamento de dívida;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;General Câmara;F;entre 61 a 70 anos;2024;12;02/12/2024;11/12/2024;Sicredi;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);Cobrança / Contestação;Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Campinas;F;entre 41 a 50 anos;2024;12;02/12/2024;12/12/2024;QuintoAndar;Construtoras, Incorporadoras e Imobiliárias;Habitação;Aluguel de Imóvel;Contrato / Oferta;Dificuldade para alterar ou cancelar o contrato /serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Sorocaba;M;entre 21 a 30 anos;2024;12;02/12/2024;11/12/2024;Electrolux - Eletrodomésticos/Eletroportáteis;Fabricantes - Linha Branca;Produtos Eletrodomésticos e Eletrônicos;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc );Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Instituto Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;ES;Vitória;F;entre 51 a 60 anos;2024;12;02/12/2024;11/12/2024;Pontofrio.com;Comércio Eletrônico;Demais Produtos;Móveis e Colchões;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;
Programa Estadual de Proteção e Defesa do Consumidor - DECON/CE;Plataforma Web;NE;CE;Aquiraz;M;entre 31 a 40 anos;2024;12;02/12/2024;11/12/2024;NotreDame Intermédica;Operadoras de Planos de Saúde e Administradoras de Benefícios;Saúde;Plano de Saúde (convênio, autogestão, seguro saúde );Cobrança / Contestação;Cobrança após cancelamento do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
